name,size,obs,boxes
000001.jpg,"[600, 850, 3]","[5, 1]","[[82, 408, 331, 631], [14, 20, 598, 846]]"
000002.jpg,"[600, 896, 3]",[14],"[[249, 358, 371, 539]]"
000003.jpg,"[800, 600, 3]","[19, 16]","[[197, 248, 344, 312], [382, 250, 491, 328]]"
000004.jpg,"[739, 600, 3]","[12, 12, 12, 12, 12, 12, 12]","[[19, 460, 124, 535], [535, 488, 739, 575], [347, 485, 494, 554], [259, 483, 372, 538], [205, 473, 279, 531], [160, 480, 222, 522], [124, 477, 179, 517]]"
000005.jpg,"[800, 600, 3]","[16, 16, 16, 16, 16]","[[421, 338, 518, 542], [264, 422, 405, 595], [8, 390, 107, 598], [386, 310, 472, 478], [443, 298, 499, 352]]"
000006.jpg,"[800, 600, 3]","[18, 17, 16, 16, 16, 16, 16, 16]","[[299, 216, 451, 387], [246, 334, 590, 600], [408, 331, 586, 600], [477, 312, 531, 395], [446, 304, 493, 370], [219, 307, 242, 318], [219, 317, 250, 339], [221, 338, 398, 600]]"
000007.jpg,"[901, 600, 3]",[12],"[[254, 90, 901, 595]]"
000008.jpg,"[800, 600, 3]",[16],"[[307, 26, 582, 398]]"
000009.jpg,"[800, 600, 3]","[6, 1, 1, 1]","[[110, 275, 432, 528], [240, 226, 366, 454], [456, 322, 523, 530], [413, 317, 475, 526]]"
000010.jpg,"[600, 814, 3]","[6, 1]","[[147, 164, 437, 724], [225, 122, 415, 481]]"
000011.jpg,"[926, 600, 3]",[3],"[[233, 94, 611, 570]]"
000012.jpg,"[901, 600, 3]",[12],"[[281, 175, 632, 486]]"
000013.jpg,"[800, 600, 3]",[4],"[[478, 256, 714, 403]]"
000014.jpg,"[901, 600, 3]","[11, 12, 12, 1, 1, 1, 12]","[[130, 294, 544, 411], [333, 350, 901, 569], [750, 324, 901, 400], [566, 14, 620, 117], [596, 7, 650, 110], [643, 14, 723, 110], [294, 355, 481, 440]]"
000015.jpg,"[800, 600, 3]",[9],"[[123, 218, 576, 573]]"
000016.jpg,"[600, 898, 3]",[9],"[[165, 129, 548, 850]]"
